Timestamp,NPI_ID,Reps_Name,HCP_Practicing_Site,Q1_1,Q1_2,Q1_3,Q1_4,Q3,Q4,Q5,Prediction,GTx_Champions_Score,Risk_Balancers_Score,RWE_Seekers_Score
2025-02-28 13:08:04,123,name,some name,Efficiency,Safety,,Dosing,Extremely Satisfied,No Barriers / Institution is well equipped to administer Gene theapy,I prescribe and administer Gene therapies ,RWE Seekers,0.05,0.03,0.92
2025-02-28 13:21:48,123,name,some name,Efficiency,Safety,MOA,Dosing,Extremely Satisfied,No Barriers / Institution is well equipped to administer Gene theapy,I prescribe and administer Gene therapies ,RWE Seekers,0.01,0.02,0.97
2025-02-28 13:26:10,123,name,some name,Efficiency,Safety,MOA,,Extremely Satisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.98,0.01,0.01
2025-02-28 13:26:25,123,name,some name,Efficiency,Safety,MOA,,Extremely Satisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.91,0.03,0.06
2025-02-28 13:28:48,123,name,some name,Efficiency,,,,Extremely Satisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.79,0.2,0.0
2025-02-28 13:29:28,123,name,some name,Efficiency,,,,Extremely Satisfied,No Barriers / Institution is well equipped to administer Gene theapy,I prescribe and administer Gene therapies ,RWE Seekers,0.23,0.35,0.43
2025-02-28 13:29:35,123,name,some name,Efficiency,,,,Extremely Satisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.79,0.2,0.0
2025-02-28 13:30:37,123,name,some name,Efficiency,,MOA,,Neutral,Lack of experience prescribing Zolgensma,I prescribe and administer Gene therapies ,RWE Seekers,0.04,0.36,0.6
2025-02-28 13:30:48,123,name,some name,Efficiency,Safety,,,Neutral,Lack of experience prescribing Zolgensma,I prescribe and administer Gene therapies ,RWE Seekers,0.0,0.46,0.54
2025-02-28 13:30:56,123,name,some name,Efficiency,Safety,MOA,,Neutral,Lack of experience prescribing Zolgensma,I prescribe and administer Gene therapies ,RWE Seekers,0.02,0.23,0.75
2025-02-28 13:32:31,123,name,some name,,Safety,MOA,Dosing,Extremely Satisfied,Lack of experience prescribing Zolgensma,I need to refer my patients to another institution ,RWE Seekers,0.0,0.26,0.74
2025-02-28 14:00:46,123,name,some name,,Safety,MOA,Dosing,Extremely Satisfied,No Barriers / Institution is well equipped to administer Gene theapy,I need to refer my patients to another institution ,RWE Seekers,0.0,0.14,0.86
2025-02-28 14:01:28,123,name,some name,,Safety,MOA,Dosing,Dissatisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I need to refer my patients to another institution ,Risk Balancers,0.0,0.73,0.26
2025-02-28 14:01:47,123,name,some name,,Safety,MOA,Dosing,Dissatisfied,No Barriers / Institution is well equipped to administer Gene theapy,I need to refer my patients to another institution ,RWE Seekers,0.0,0.37,0.63
2025-02-28 14:03:19,123,name,some name,,Safety,MOA,Dosing,Dissatisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I need to refer my patients to another institution ,Risk Balancers,0.0,0.73,0.26
2025-02-28 14:03:36,123,name,some name,,Safety,,Dosing,Neutral,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I need to refer my patients to another institution ,Risk Balancers,0.0,0.64,0.36
2025-02-28 14:03:40,123,name,some name,,Safety,,Dosing,Neutral,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,Risk Balancers,0.01,0.67,0.32
2025-02-28 14:03:50,123,name,some name,,Safety,,Dosing,Extremely Satisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.55,0.14,0.31
2025-02-28 14:04:12,123,name,some name,,Safety,,Dosing,Extremely Satisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.92,0.03,0.05
2025-02-28 14:04:27,123,name,some name,,Safety,,Dosing,Neutral,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.56,0.14,0.31
2025-02-28 14:04:34,123,name,some name,,Safety,,Dosing,Dissatisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.67,0.27,0.06
2025-02-28 14:04:47,123,name,some name,,Safety,,Dosing,Extremely Satisfied,"Gene Therapy capabilities at site are not good enough (e.g. Financial Barriers, Pre and Post Monitoring Capabilities, Administration)",I prescribe and administer Gene therapies ,GTx Champions,0.92,0.03,0.05
